waypoint1	waypoint2	distance_m	duration_s
Humphreys Summit Trail, Flagstaff, AZ 86001	Cheaha State Park Observation Tower, Delta, AL 36258	2674997	88400
Mt Magazine Rd, Paris, AR 72855	Cheaha State Park Observation Tower, Delta, AL 36258	914727	31710
Whitney Portal Rd, Lone Pine, CA 93545	Cheaha State Park Observation Tower, Delta, AL 36258	3416891	113711
Trl 110, Twin Lakes, CO	Cheaha State Park Observation Tower, Delta, AL 36258	2346846	81138
Mt Frissell Trailhead parking, Salisbury, CT 06068	Cheaha State Park Observation Tower, Delta, AL 36258	1723268	60418
2715 Ebright Rd, Wilmington, DE 19810	Cheaha State Park Observation Tower, Delta, AL 36258	1360477	46694
4000 Chesapeake St NW, Washington, DC 20016	Cheaha State Park Observation Tower, Delta, AL 36258	1181601	40723
Britton Hill, Florida 32433	Cheaha State Park Observation Tower, Delta, AL 36258	350713	14244
GA-180 Spur, Blairsville, GA 30512	Cheaha State Park Observation Tower, Delta, AL 36258	293005	11890
Borah Peak Trailhead, Mackay, ID 83251	Cheaha State Park Observation Tower, Delta, AL 36258	3286408	112552
Charles Mound, Scales Mound Township, IL 61075	Cheaha State Park Observation Tower, Delta, AL 36258	1406770	48397
Hoozier Hill, Franklin Township, IN 47341	Cheaha State Park Observation Tower, Delta, AL 36258	932578	33716
Hawkeye Pt Rd, Sibley, IA 51249	Cheaha State Park Observation Tower, Delta, AL 36258	1825203	62848
Mount Sunflower, Weskan, KS 67762	Cheaha State Park Observation Tower, Delta, AL 36258	2003292	66009
Black Mountain Ridge Rd, Partridge, KY 40862	Cheaha State Park Observation Tower, Delta, AL 36258	643331	24576
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Cheaha State Park Observation Tower, Delta, AL 36258	776525	26286
Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	Cheaha State Park Observation Tower, Delta, AL 36258	2399215	83150
2428 Seneca Trail, Eglon, WV 26716	Cheaha State Park Observation Tower, Delta, AL 36258	1113444	40459
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Cheaha State Park Observation Tower, Delta, AL 36258	1805446	62932
Skanee, MI 49962	Cheaha State Park Observation Tower, Delta, AL 36258	1813248	63392
Eagle Mountain Trailhead, Grand Marais, MN 55604	Cheaha State Park Observation Tower, Delta, AL 36258	2106303	72827
105 Woodall Mountain Rd, Iuka, MS 38852	Cheaha State Park Observation Tower, Delta, AL 36258	360966	13574
High Point Trail Head, Ironton, MO 63650	Cheaha State Park Observation Tower, Delta, AL 36258	875755	32060
W Rosebud Lake Rd, Fishtail, MT 59028	Cheaha State Park Observation Tower, Delta, AL 36258	3014960	103959
Panorama Point, Bushnell, NE 82082	Cheaha State Park Observation Tower, Delta, AL 36258	2224351	75902
Boundary Peak Trailhead, Nevada 89010	Cheaha State Park Observation Tower, Delta, AL 36258	3472805	115247
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Cheaha State Park Observation Tower, Delta, AL 36258	2132532	76540
Monument Rd, Wantage, NJ 07461	Cheaha State Park Observation Tower, Delta, AL 36258	1560124	53956
Taos Ski Valley, NM 87525	Cheaha State Park Observation Tower, Delta, AL 36258	2140031	74365
Adirondack Loj Rd, Lake Placid, NY 12946	Cheaha State Park Observation Tower, Delta, AL 36258	1958890	67294
Mount Mitchell Summit Trail, Burnsville, NC 28714	Cheaha State Park Observation Tower, Delta, AL 36258	525764	21474
White Butte Trl, Bowman, ND 58623	Cheaha State Park Observation Tower, Delta, AL 36258	2616404	89697
2280 OH-540, Bellefontaine, OH 43311	Cheaha State Park Observation Tower, Delta, AL 36258	981197	34872
Black Mesa Trail, Kenton, OK 73946	Cheaha State Park Observation Tower, Delta, AL 36258	1860865	63197
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Cheaha State Park Observation Tower, Delta, AL 36258	4104452	138401
Mount Davis Observation Tower, Fort Hill, PA 15540	Cheaha State Park Observation Tower, Delta, AL 36258	1165217	41512
250-216 Hartford Pike, Foster, RI 02825	Cheaha State Park Observation Tower, Delta, AL 36258	1801950	62014
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Cheaha State Park Observation Tower, Delta, AL 36258	400340	15572
Palmer Creek Trailhead, Hill City, SD 57745	Cheaha State Park Observation Tower, Delta, AL 36258	2432667	82501
Clingmans Dome Tennessee High Point, Tennessee 37738	Cheaha State Park Observation Tower, Delta, AL 36258	449748	18411
Pine Springs Trailhead, Salt Flat, TX 79847	Cheaha State Park Observation Tower, Delta, AL 36258	1973574	66274
85GFWM59+MG, Evanston, UT 84031	Cheaha State Park Observation Tower, Delta, AL 36258	2942161	102268
Long Trail, Stowe, VT 05672	Cheaha State Park Observation Tower, Delta, AL 36258	2083172	73203
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Cheaha State Park Observation Tower, Delta, AL 36258	661600	23844
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Cheaha State Park Observation Tower, Delta, AL 36258	4200960	145920
Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	Cheaha State Park Observation Tower, Delta, AL 36258	1037731	39292
W3206 Co Rd R R, Ogema, WI 54459	Cheaha State Park Observation Tower, Delta, AL 36258	1717375	57681
Trail Lake Trailhead, Dubois, WY 82513	Cheaha State Park Observation Tower, Delta, AL 36258	2836748	97396
Mt Magazine Rd, Paris, AR 72855	Humphreys Summit Trail, Flagstaff, AZ 86001	1813811	60489
Whitney Portal Rd, Lone Pine, CA 93545	Humphreys Summit Trail, Flagstaff, AZ 86001	797537	30026
Trl 110, Twin Lakes, CO	Humphreys Summit Trail, Flagstaff, AZ 86001	895671	35198
Mt Frissell Trailhead parking, Salisbury, CT 06068	Humphreys Summit Trail, Flagstaff, AZ 86001	3907209	130424
Humphreys Summit Trail, Flagstaff, AZ 86001	2715 Ebright Rd, Wilmington, DE 19810	3608184	120337
4000 Chesapeake St NW, Washington, DC 20016	Humphreys Summit Trail, Flagstaff, AZ 86001	3565991	117124
Britton Hill, Florida 32433	Humphreys Summit Trail, Flagstaff, AZ 86001	2701575	91631
GA-180 Spur, Blairsville, GA 30512	Humphreys Summit Trail, Flagstaff, AZ 86001	2867236	95186
Borah Peak Trailhead, Mackay, ID 83251	Humphreys Summit Trail, Flagstaff, AZ 86001	1290054	45401
Charles Mound, Scales Mound Township, IL 61075	Humphreys Summit Trail, Flagstaff, AZ 86001	2502330	85359
Humphreys Summit Trail, Flagstaff, AZ 86001	Hoozier Hill, Franklin Township, IN 47341	2723254	89770
Hawkeye Pt Rd, Sibley, IA 51249	Humphreys Summit Trail, Flagstaff, AZ 86001	2118874	74391
Mount Sunflower, Weskan, KS 67762	Humphreys Summit Trail, Flagstaff, AZ 86001	1292214	44261
Humphreys Summit Trail, Flagstaff, AZ 86001	Black Mountain Ridge Rd, Partridge, KY 40862	3021289	100378
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Humphreys Summit Trail, Flagstaff, AZ 86001	1971299	65799
Humphreys Summit Trail, Flagstaff, AZ 86001	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4645556	154718
2428 Seneca Trail, Eglon, WV 26716	Humphreys Summit Trail, Flagstaff, AZ 86001	3299740	109516
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Humphreys Summit Trail, Flagstaff, AZ 86001	3926662	130908
Skanee, MI 49962	Humphreys Summit Trail, Flagstaff, AZ 86001	3118615	106261
Eagle Mountain Trailhead, Grand Marais, MN 55604	Humphreys Summit Trail, Flagstaff, AZ 86001	2964603	101191
105 Woodall Mountain Rd, Iuka, MS 38852	Humphreys Summit Trail, Flagstaff, AZ 86001	2343311	77363
High Point Trail Head, Ironton, MO 63650	Humphreys Summit Trail, Flagstaff, AZ 86001	2178667	73102
W Rosebud Lake Rd, Fishtail, MT 59028	Humphreys Summit Trail, Flagstaff, AZ 86001	1698411	62022
Panorama Point, Bushnell, NE 82082	Humphreys Summit Trail, Flagstaff, AZ 86001	1270932	46074
Boundary Peak Trailhead, Nevada 89010	Humphreys Summit Trail, Flagstaff, AZ 86001	853452	31562
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Humphreys Summit Trail, Flagstaff, AZ 86001	4260105	145554
Monument Rd, Wantage, NJ 07461	Humphreys Summit Trail, Flagstaff, AZ 86001	3738635	123728
Taos Ski Valley, NM 87525	Humphreys Summit Trail, Flagstaff, AZ 86001	775410	28411
Humphreys Summit Trail, Flagstaff, AZ 86001	Adirondack Loj Rd, Lake Placid, NY 12946	3950443	132358
Mount Mitchell Summit Trail, Burnsville, NC 28714	Humphreys Summit Trail, Flagstaff, AZ 86001	3024617	101166
White Butte Trl, Bowman, ND 58623	Humphreys Summit Trail, Flagstaff, AZ 86001	1892106	67711
2280 OH-540, Bellefontaine, OH 43311	Humphreys Summit Trail, Flagstaff, AZ 86001	2856287	94789
Black Mesa Trail, Kenton, OK 73946	Humphreys Summit Trail, Flagstaff, AZ 86001	1047190	35842
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Humphreys Summit Trail, Flagstaff, AZ 86001	1915341	68276
Mount Davis Observation Tower, Fort Hill, PA 15540	Humphreys Summit Trail, Flagstaff, AZ 86001	3264695	108627
250-216 Hartford Pike, Foster, RI 02825	Humphreys Summit Trail, Flagstaff, AZ 86001	4043545	133888
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Humphreys Summit Trail, Flagstaff, AZ 86001	3019085	100403
Palmer Creek Trailhead, Hill City, SD 57745	Humphreys Summit Trail, Flagstaff, AZ 86001	1650017	58654
Clingmans Dome Tennessee High Point, Tennessee 37738	Humphreys Summit Trail, Flagstaff, AZ 86001	2883864	96726
Pine Springs Trailhead, Salt Flat, TX 79847	Humphreys Summit Trail, Flagstaff, AZ 86001	952803	36147
85GFWM59+MG, Evanston, UT 84031	Humphreys Summit Trail, Flagstaff, AZ 86001	846577	33810
Long Trail, Stowe, VT 05672	Humphreys Summit Trail, Flagstaff, AZ 86001	4053241	139470
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Humphreys Summit Trail, Flagstaff, AZ 86001	3039557	99646
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Humphreys Summit Trail, Flagstaff, AZ 86001	2110410	76723
Humphreys Summit Trail, Flagstaff, AZ 86001	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3326817	111252
W3206 Co Rd R R, Ogema, WI 54459	Humphreys Summit Trail, Flagstaff, AZ 86001	2828938	95539
Trail Lake Trailhead, Dubois, WY 82513	Humphreys Summit Trail, Flagstaff, AZ 86001	1355508	50584
Mt Magazine Rd, Paris, AR 72855	Whitney Portal Rd, Lone Pine, CA 93545	2556509	86265
Mt Magazine Rd, Paris, AR 72855	Trl 110, Twin Lakes, CO	1486465	53692
Mt Frissell Trailhead parking, Salisbury, CT 06068	Mt Magazine Rd, Paris, AR 72855	2341314	79942
Mt Magazine Rd, Paris, AR 72855	2715 Ebright Rd, Wilmington, DE 19810	1988088	66954
4000 Chesapeake St NW, Washington, DC 20016	Mt Magazine Rd, Paris, AR 72855	1806078	60846
Mt Magazine Rd, Paris, AR 72855	Britton Hill, Florida 32433	1106712	38105
Mt Magazine Rd, Paris, AR 72855	GA-180 Spur, Blairsville, GA 30512	1107324	38908
Mt Magazine Rd, Paris, AR 72855	Borah Peak Trailhead, Mackay, ID 83251	2549643	86335
Mt Magazine Rd, Paris, AR 72855	Charles Mound, Scales Mound Township, IL 61075	1211331	41811
Mt Magazine Rd, Paris, AR 72855	Hoozier Hill, Franklin Township, IN 47341	1189613	41543
Mt Magazine Rd, Paris, AR 72855	Hawkeye Pt Rd, Sibley, IA 51249	1129767	38225
